parent_directory,is_file,name,size_in_bytes
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Collections.NonGeneric.dll,33352
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Collections.Specialized.dll,31816
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.ComponentModel.dll,13896
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.ComponentModel.EventBasedAsync.dll,18504
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.ComponentModel.Primitives.dll,24136
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.ComponentModel.TypeConverter.dll,152136
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Console.dll,40520
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Data.Common.dll,624712
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Diagnostics.DiagnosticSource.dll,69704
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Diagnostics.Process.dll,83528
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Diagnostics.StackTrace.dll,17480
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Diagnostics.TraceSource.dll,29256
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.dll,13896
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Drawing.dll,13896
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Drawing.Primitives.dll,46664
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.IO.Compression.Brotli.dll,32840
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.IO.Compression.dll,96840
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.IO.Compression.Native.dll,822936
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.IO.Compression.ZipFile.dll,20040
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.IO.FileSystem.DriveInfo.dll,23624
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.IO.MemoryMappedFiles.dll,31304
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Linq.dll,87624
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Linq.Expressions.dll,511048
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Management.dll,294984
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Memory.dll,39496
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.Http.dll,563272
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.NameResolution.dll,40008
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.NetworkInformation.dll,44104
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.Primitives.dll,76872
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.Quic.dll,102984
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.Requests.dll,110664
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Net.Security.dll,189000
